ticker,company_name,industry_group,latest_date,data_points,return_3d,return_5d,return_10d,return_20d,avg_volume_3d,avg_volume_5d,avg_volume_20d,relative_volume,ma_5d,ma_10d,ma_20d,max_drawdown_10d,up_days_10d,early_momentum_signal,confirmed_momentum_signal,strong_momentum_signal,risk_warning,relative_strength_vs_industry
SNOW,Snowflake Inc.,Cloud Software,2026-05-08,124,0.075789,0.081206,0.086445,0.258773,9274402.000000,7981001.200000,7639080.300000,0.874805,146.366003,143.733002,144.131001,-0.053934,4,True,False,False,False,-0.065617
DDOG,Datadog Inc.,Cloud Software,2026-05-08,124,0.373499,0.424322,0.545876,0.899592,15402509.666667,11672525.800000,6469716.450000,1.856886,165.004001,149.593001,136.811500,-0.020315,6,True,True,True,True,0.393814
MDB,MongoDB Inc.,Cloud Software,2026-05-08,124,0.122956,0.136681,0.180922,0.325382,2088090.333333,1648034.200000,1550783.550000,1.167778,277.904004,268.468004,260.989001,-0.051252,7,True,True,False,False,0.028860
WDAY,Workday Inc.,Cloud Software,2026-05-08,124,-0.008147,0.006853,0.067385,0.136267,4983026.666667,4453696.000000,4824039.000000,0.881104,127.622002,124.891001,123.882001,-0.048495,6,False,True,False,False,-0.084677
TTD,The Trade Desk Inc.,Adtech,2026-05-08,124,-0.062170,-0.047855,-0.037130,0.148830,33208709.000000,26329865.400000,18830626.350000,2.183906,23.858000,23.786000,23.255500,-0.062170,4,False,False,False,False,-0.095945
APP,AppLovin Corporation,Adtech,2026-05-08,124,-0.019995,0.018587,0.045194,0.197174,9429256.666667,7070394.000000,4492938.500000,1.724210,477.871991,464.845996,462.882500,-0.060777,6,False,True,False,False,-0.013622
ROKU,Roku Inc.,Adtech,2026-05-08,124,0.041154,0.048147,0.124197,0.264077,2201166.000000,2630679.600000,2945184.900000,0.691569,126.922000,121.403000,117.132000,-0.018360,6,False,True,False,False,0.065381
MGNI,Magnite Inc.,Adtech,2026-05-08,124,0.038971,0.029883,0.088598,0.179466,4392567.333333,3504380.400000,2453015.100000,1.713280,13.740000,13.416000,13.264500,-0.024052,5,False,False,False,False,0.029782
PUBM,PubMatic Inc.,Adtech,2026-05-08,124,0.032692,0.049853,0.116424,0.268005,997458.333333,809855.000000,657873.750000,2.424591,10.354000,10.101000,9.770000,-0.025000,8,False,True,True,False,0.057608
DV,DoubleVerify Holdings Inc.,Adtech,2026-05-08,124,-0.034904,-0.022104,0.015611,0.158115,2821021.333333,2629412.800000,2020233.200000,1.161284,11.184000,11.103000,10.837000,-0.053229,7,False,False,False,False,-0.043205
CEG,Constellation Energy Corporation,Nuclear,2026-05-08,124,-0.052400,-0.013580,-0.031576,0.059791,2853376.666667,2657886.000000,2647266.500000,1.083280,315.832001,311.785001,302.749001,-0.059328,4,False,False,False,False,-0.044268
VST,Vistra Corp.,Nuclear,2026-05-08,124,-0.078938,-0.048686,-0.101187,-0.045305,8039087.000000,6378752.200000,4419608.050000,1.811622,156.238000,157.579999,159.070000,-0.113219,3,False,False,False,True,-0.113879
