ticker,company_name,industry_group,latest_date,data_points,return_3d,return_5d,return_10d,return_20d,avg_volume_3d,avg_volume_5d,avg_volume_20d,relative_volume,ma_5d,ma_10d,ma_20d,max_drawdown_10d,up_days_10d,early_momentum_signal,confirmed_momentum_signal,strong_momentum_signal,risk_warning,relative_strength_vs_industry,leader_type,industry_quality_score,distance_from_20d_ma,distance_from_52w_high,position_in_52w_range,industry_regime,short_term_price_zone,long_term_price_zone,price_zone,current_state,watch_status,latest_volume,data_status,data_quality_note
ZS,Zscaler Inc.,Cybersecurity,2026-05-15,251,0.101799,0.058634,0.151921,0.195798,4320003.000000,3564981.800000,2732110.450000,1.519634,152.443997,148.952998,142.523499,-0.043327,5,False,False,False,False,-0.068768,challenger,5,0.129989,-0.521069,0.197049,momentum_leader,extended,deep_pullback,extended,strong_uptrend,too_extended,4151809,ok,資料日期與本次市場日期一致。
OKTA,Okta Inc.,Cybersecurity,2026-05-15,251,0.046926,-0.013468,0.092241,0.145605,2464750.666667,2411910.400000,2855872.600000,0.924534,80.553999,79.998000,78.101500,-0.067938,6,False,False,False,False,-0.128448,specialist,5,0.059775,-0.349804,0.308218,momentum_leader,neutral,reasonable_pullback,reasonable_pullback,pullback_in_uptrend,avoid_for_now,2640352,ok,資料日期與本次市場日期一致。
TENB,Tenable Holdings Inc.,Cybersecurity,2026-05-15,251,0.022846,-0.015575,0.012247,0.110594,3135522.333333,2764673.400000,3366708.350000,0.806267,20.968000,21.122000,20.771000,-0.063216,5,False,False,False,False,-0.208442,specialist,5,0.034616,-0.393965,0.280638,momentum_leader,neutral,reasonable_pullback,reasonable_pullback,pullback_in_uptrend,avoid_for_now,2714467,ok,資料日期與本次市場日期一致。
CRM,Salesforce Inc.,Cloud Software,2026-05-15,251,0.012842,-0.045705,-0.056088,-0.047381,11822598.000000,11365358.800000,12209414.700000,1.127531,171.145999,177.755000,179.763001,-0.113108,5,False,False,False,True,-0.181599,core_leader,5,-0.034785,-0.399606,0.068933,exhaustion,reasonable_pullback,deep_pullback,deep_pullback,falling_knife,avoid_for_now,13766494,ok,資料日期與本次市場日期一致。
NOW,ServiceNow Inc.,Cloud Software,2026-05-15,251,0.068202,0.042663,0.042892,-0.016449,27314448.000000,25140168.800000,28343652.200000,1.208907,90.622000,91.091000,91.904500,-0.069879,6,True,False,False,False,-0.082620,core_leader,5,0.034443,-0.544985,0.095841,exhaustion,neutral,deep_pullback,deep_pullback,sideways_base,not_eligible_industry,34264844,ok,資料日期與本次市場日期一致。
SNOW,Snowflake Inc.,Cloud Software,2026-05-15,251,0.036123,0.032929,0.116809,0.093694,6810690.333333,6021814.200000,6887188.550000,1.118624,152.815997,149.591000,147.249001,-0.030996,5,False,False,False,False,-0.008703,challenger,5,0.069413,-0.431803,0.233032,exhaustion,neutral,deep_pullback,deep_pullback,pullback_in_uptrend,not_eligible_industry,7704171,ok,資料日期與本次市場日期一致。
DDOG,Datadog Inc.,Cloud Software,2026-05-15,251,0.040212,0.039069,0.479969,0.642682,5002526.000000,5510255.600000,6623618.900000,0.828758,203.678000,184.341000,158.141500,-0.020315,6,False,True,False,True,0.354457,infrastructure_leader,5,0.315151,0.000000,1.000000,exhaustion,very_extended,very_extended,very_extended,overextended,not_eligible_industry,5489378,ok,資料日期與本次市場日期一致。
MDB,MongoDB Inc.,Cloud Software,2026-05-15,251,0.011143,0.042375,0.184848,0.185208,1381621.666667,1648033.000000,1534078.250000,0.946865,304.323999,291.114001,275.654000,-0.018528,7,False,True,False,False,0.059336,specialist,5,0.132434,-0.291512,0.497476,exhaustion,extended,neutral,extended,strong_uptrend,not_eligible_industry,1452565,ok,資料日期與本次市場日期一致。
WDAY,Workday Inc.,Cloud Software,2026-05-15,251,0.053869,-0.022061,-0.015359,0.009529,4719830.666667,4137058.400000,4718214.600000,1.093336,120.060001,123.841001,123.367001,-0.109872,5,False,False,False,True,-0.140871,specialist,5,0.013318,-0.543493,0.077538,exhaustion,neutral,deep_pullback,deep_pullback,falling_knife,avoid_for_now,5158592,ok,資料日期與本次市場日期一致。
TTD,The Trade Desk Inc.,Adtech,2026-05-15,251,0.000473,-0.083622,-0.127475,-0.058745,16791688.000000,17783812.800000,19292458.200000,0.907493,20.942000,22.400000,22.998500,-0.170662,2,False,False,False,True,-0.069280,core_leader,3,-0.080375,-0.764372,0.015215,weak,reasonable_pullback,deep_pullback,deep_pullback,falling_knife,avoid_for_now,17507764,ok,資料日期與本次市場日期一致。
